1355868401  theta= 16.2945 phi= 278.749
1355868481  theta= 10.7522 phi= 90.5203
1355868529  theta= 15.8782 phi= 191.696
1355868548  theta= 17.6282 phi= 125.333
1355868620  theta= 19.0169 phi= 207.859
1355868627  theta= 18.7805 phi= 37.1944
1355868768  theta= 12.0585 phi= 33.7177
1355868815  theta= 22.0458 phi= 285.316
1355868907  theta= 8.2374 phi= 334.575
1355868918  theta= 14.3 phi= 214.575
1355868919  theta= 12.0023 phi= 307.775
1355868924  theta= 10.9388 phi= 310.543
1355868947  theta= 12.8195 phi= 144.747
1355868995  theta= 15.7705 phi= 294.629
1355869009  theta= 21.5027 phi= 70.6698
1355869015  theta= 12.1576 phi= 209.55
1355869021  theta= 10.4574 phi= 326.631
1355869025  theta= 12.8225 phi= 29.09
1355869077  theta= 16.6917 phi= 76.5356
1355869230  theta= 16.9566 phi= 349.441
1355869237  theta= 12.1913 phi= 34.628
1355869252  theta= 9.02073 phi= 352.981
1355869287  theta= 14.5088 phi= 57.272
1355869312  theta= 4.10926 phi= 109.465
1355869347  theta= 2.91551 phi= 43.9397
1355869416  theta= 38.0159 phi= 343.741
1355869440  theta= 21.8386 phi= 259.744
1355869523  theta= 5.85642 phi= 17.8405
1355869595  theta= 14.0972 phi= 190.255
1355869618  theta= 9.31642 phi= 138.202
1355869619  theta= 14.547 phi= 88.5461
1355869652  theta= 3.48929 phi= 188.576
1355869661  theta= 15.0216 phi= 166.271
1355869666  theta= 20.2059 phi= 139.817
1355869678  theta= 28.7124 phi= 212.077
1355869679  theta= 8.09419 phi= 69.7533
1355869689  theta= 24.6476 phi= 223.562
1355869698  theta= 28.642 phi= 250.115
1355869748  theta= 8.62092 phi= 112.832
1355869782  theta= 9.60142 phi= 310.911
1355869793  theta= 21.3164 phi= 18.2681
1355869810  theta= 14.9424 phi= 332.264
1355869825  theta= 22.2112 phi= 144.629
1355869896  theta= 22.9932 phi= 131.303
1355870024  theta= 6.45679 phi= 195.073
1355870034  theta= 28.4206 phi= 273.683
1355870057  theta= 2.96618 phi= 263.645
1355870089  theta= 14.7643 phi= 221.362
1355870223  theta= 9.09777 phi= 77.357
1355870265  theta= 32.8463 phi= 260.834
1355870279  theta= 8.18415 phi= 33.0552
1355870304  theta= 17.4387 phi= 158.068
1355870353  theta= 11.6796 phi= 216.354
1355870389  theta= 13.9585 phi= 186.481
1355870401  theta= 16.9215 phi= 48.7476
1355870454  theta= 5.41164 phi= 291.528
1355870552  theta= 3.63415 phi= 249.824
1355870613  theta= 16.7503 phi= 345.201
1355870632  theta= 0.991098 phi= 60.9843
1355870682  theta= 6.40011 phi= 356.369
1355870705  theta= 7.75378 phi= 53.1061
1355870713  theta= 10.9016 phi= 274.379
1355870741  theta= 15.4996 phi= 90.3632
1355870746  theta= 9.36409 phi= 203.756
1355870764  theta= 19.6772 phi= 65.151
1355870806  theta= 3.79902 phi= 220.877
1355870959  theta= 15.2612 phi= 269.192
1355870981  theta= 12.8566 phi= 31.4109
1355871051  theta= 16.7471 phi= 294.021
1355871111  theta= 12.6263 phi= 256.751
1355871142  theta= 15.0839 phi= 172.205
1355871178  theta= 19.4372 phi= 94.4632
1355871190  theta= 7.99932 phi= 155.604
1355871208  theta= 16.1881 phi= 335.875
1355871247  theta= 8.65253 phi= 131.924
1355871272  theta= 9.6658 phi= 113.233
1355871274  theta= 7.95289 phi= 310.069
1355871359  theta= 11.7124 phi= 224.461
1355871434  theta= 16.5329 phi= 16.6806
1355871455  theta= 8.30517 phi= 86.6702
1355871476  theta= 6.95053 phi= 218.681
1355871504  theta= 14.8392 phi= 67.7126
1355871508  theta= 19.4534 phi= 278.062
1355871521  theta= 11.5541 phi= 356.825
1355871556  theta= 11.0457 phi= 224.429
1355871593  theta= 30.9168 phi= 292.42
1355871619  theta= 14.2349 phi= 85.22
1355871650  theta= 8.58041 phi= 183.487
1355871696  theta= 25.2703 phi= 251.307
1355871787  theta= 9.63503 phi= 136.142
1355871876  theta= 19.3303 phi= 300.443
1355871925  theta= 17.7496 phi= 9.32772
1355871973  theta= 10.7239 phi= 337.371
1355872066  theta= 12.3405 phi= 10.6037
1355872127  theta= 16.4778 phi= 317.784
1355872141  theta= 14.0379 phi= 171.152
1355872248  theta= 26.5742 phi= 74.2632
1355872250  theta= 10.9937 phi= 112.274
1355872276  theta= 22.5632 phi= 31.5329
1355872316  theta= 11.4077 phi= 324.822
1355872347  theta= 19.3078 phi= 109.542
1355872352  theta= 7.25515 phi= 266.484
1355872367  theta= 7.3048 phi= 250.697
1355872404  theta= 8.69861 phi= 163.339
1355872410  theta= 6.64039 phi= 4.50141
1355872473  theta= 11.7655 phi= 287.356
1355872475  theta= 4.60978 phi= 223.638
1355872494  theta= 11.8537 phi= 179.156
1355872498  theta= 6.97405 phi= 107.237
1355872553  theta= 2.8923 phi= 344.942
1355872649  theta= 14.5642 phi= 145.568
1355872696  theta= 18.6115 phi= 6.71364
1355872734  theta= 17.7105 phi= 194.788
1355872750  theta= 12.2318 phi= 25.0624
1355872761  theta= 21.2551 phi= 20.6874
1355872809  theta= 15.5155 phi= 193.739
1355872866  theta= 7.00846 phi= 338.167
1355872956  theta= 13.204 phi= 102.669
1355872977  theta= 7.50448 phi= 33.2435
1355873016  theta= 1.12158 phi= 50.6026
1355873024  theta= 5.7863 phi= 196.862
1355873070  theta= 11.0511 phi= 256.715
1355873100  theta= 6.25032 phi= 225.495
1355873159  theta= 16.023 phi= 114.539
